,119,,Building Break Down,Rack Turn-Down,Rack Turn-Up,Total Racks Per Building,,,,,,,,,,,,,,,,,,,,,,
Racks In Position,63,,ATN1,3,2,5,,,Color Guide,,,,,,,,,,,,,,,,,,,
Racks Pending Position,51,,ATN2,8,0,8,,,ISSUE,,,,,,,,,,,,,,,,,,,
SLC Completed,46,,ATN3,64,0,64,,,HIGH-PRI ,,,,,,,,,,,,,,,,,,,
Racks Pending L2+ Audit Completion,54,,ATN4,0,0,0,,,Good/Completed,,,,,,,,,,,,,,,,,,,
Work % Complete,45.40%,,ATN5,2,10,12,,,,,,,,,,,,,,,,,,,,,,
,,,ATN6,42,2,44,,,,,,,,,,,,,,,,,,,,,,
,,,ATN7,0,97,97,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team #,Set or Decom ,Type of Move,Rack SN,From Data Center,Rack Source Location,V ,To Data Center,Rack Final Destination,QR Code for Destination,Un-set / Un-Level / Recontain Complete (DECOM),In Position (Rack Delivered to Final Position (IBOS),SLC (SET),L2+ Audit Complete (IBOS),Notes,Issue Tracker,,Time Stamp,,,,,,,,,,,
Commonwealth,Decom and Set,Rack Move,50417102,ATN3,ATN3.3B.11F.01,,ATN7,ATN7.7A.26.01,,TRUE,TRUE,TRUE,TRUE,"Decom, IBOS Move, Set",,Rack move on 2/18,,,,,,,,,,,,
Commonwealth,Decom and Set,Rack Move,50417941,ATN3,ATN3.3B.08F.02,,ATN7,ATN7.7A.23.01,,TRUE,TRUE,FALSE,FALSE,"Decom, IBOS Move, Set",,Rack move on 2/18,,,,,,,,,,,,
Commonwealth,Decom and Set,Rack Move,50400074,ATN3,ATN3.3B.09F.20,,ATN7,ATN7.7A.28.23,,TRUE,TRUE,FALSE,FALSE,"Decom, IBOS Move, Set",,2ND RACK MOVE S ON 2/18,,,,,,,,,,,,
Commonwealth,Decom and Set,Rack Move,50122684,ATN3,ATN3.3D.16B.15,,ATN7,ATN7.7A.65.13,,TRUE,TRUE,FALSE,FALSE,"Decom, IBOS Move, Set",,2ND RACK MOVE S ON 2/18,,,,,,,,,,,,
Commonwealth,Decom and Set,Rack Move,50159575,ATN3,ATN3.3D.17F.09,,ATN7,ATN7.7A.07.22,,TRUE,TRUE,FALSE,FALSE,"Decom, IBOS Move, Set",,2ND RACK MOVE S ON 2/18,,,,,,,,,,,,
Commonwealth,Decom and Set,Rack Move,50122288,ATN3,ATN3.3D.22F.08,,ATN7,ATN7.7A.63.33,,TRUE,TRUE,TRUE,TRUE,"Decom, IBOS Move, Set",,2ND RACK MOVE S ON 2/18,,,,,,,,,,,,
Commonwealth,Decom and Set,Rack Move,50416360,ATN3,ATN3.3B.09F.02,,ATN7,ATN7.7A.28.06,,TRUE,TRUE,FALSE,FALSE,"Decom, IBOS Move, Set",,2ND RACK MOVE S ON 2/18,,,,,,,,,,,,
Commonwealth,Decom and Set,Rack Move,50408315,ATN3,ATN3.3B.11F.15,,ATN7,ATN7.7A.26.11,,TRUE,TRUE,TRUE,TRUE,"Decom, IBOS Move, Set",,2ND RACK MOVE S ON 2/18,,,,,,,,,,,,
Commonwealth,Decom and Set,Rack Move,50122279,ATN3,ATN3.3C.14B.12,,ATN7,ATN7.7A.12.24,,TRUE,TRUE,TRUE,TRUE,"Decom, IBOS Move, Set",,2ND RACK MOVE S ON 2/18,,,,,,,,,,,,
Commonwealth,Decom and Set,Rack Move,50187409,ATN3,ATN3.3D.10F.15,,ATN7,ATN7.7A.64.28,,TRUE,TRUE,TRUE,TRUE,"Decom, IBOS Move, Set",,2ND RACK MOVE S ON 2/18,,,,,,,,,,,,
Commonwealth,Decom and Set,Rack Move,50126953,ATN3,ATN3.3D.16F.21,,ATN7,ATN7.7A.66.26,,TRUE,TRUE,FALSE,FALSE,"Decom, IBOS Move, Set",,2ND RACK MOVE S ON 2/18,,,,,,,,,,,,
Commonwealth,Decom and Set,Rack Move,50122275,ATN3,ATN3.3D.24F.02,,ATN7,ATN7.7A.13.01,,TRUE,TRUE,FALSE,FALSE,"Decom, IBOS Move, Set",,2ND RACK MOVE S ON 2/18,,,,,,,,,,,,
